Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
LengthTaintStrategy,3307644023_896686_1_32,3307644023,0,0,87,NOT_FLIPPED,5.412101745605469e-05,11,18,164,35,0,87,96,0,538,1,Wrong statement
LengthTaintStrategy,3307673624_833007_0_40,3307673624,0,0,325,NOT_FLIPPED,8.606910705566406e-05,8,122,792,2,0,325,712,0,2735,1,Wrong statement
LengthTaintStrategy,3307621814_475622_0_511,3307621814,0,0,159,NOT_FLIPPED,2.8371810913085938e-05,7,18,164,1,10,159,1068,0,1254,1,Wrong statement
LengthTaintStrategy,1632342941_384186_0_32,1632342941,0,0,761,NOT_FLIPPED,5.5789947509765625e-05,6,122,792,46,0,761,1234,0,3213,1,Wrong statement
LengthTaintStrategy,3307644023_781256_1_32,3307644023,0,0,87,NOT_FLIPPED,4.792213439941406e-05,11,18,164,35,0,87,96,0,538,1,Wrong statement
LengthTaintStrategy,3307639139_962516_0_32,3307639139,0,0,200,NOT_FLIPPED,5.459785461425781e-05,13,122,792,16,0,200,950,0,1806,1,Wrong statement
LengthTaintStrategy,3307646762_833007_1_288,3307646762,0,0,37,NOT_FLIPPED,4.506111145019531e-05,2,122,792,18,0,37,739,0,12,1,Wrong statement
LengthTaintStrategy,3478209417_645526_1_34,3478209417,0,0,203,NOT_FLIPPED,4.410743713378906e-05,2,32,323,10,0,203,306,0,14,1,Wrong statement
LengthTaintStrategy,3307621814_792639_2_255,3307621814,0,0,685,NOT_FLIPPED,4.172325134277344e-05,3,18,164,1,10,685,703,0,2626,1,Wrong statement
LengthTaintStrategy,3307621814_475622_0_255,3307621814,0,0,159,NOT_FLIPPED,3.409385681152344e-05,9,18,164,1,10,159,313,0,1260,1,Wrong statement
LengthTaintStrategy,3307621814_684586_2_255,3307621814,0,0,80,NOT_FLIPPED,2.9087066650390625e-05,9,18,164,1,10,80,96,0,476,1,Wrong statement
LengthTaintStrategy,1333040048_509569_0_32,1333040048,0,0,223,NOT_FLIPPED,5.602836608886719e-05,2,122,792,46,0,223,688,0,769,1,Wrong statement
LengthTaintStrategy,3307621814_669889_0_255,3307621814,0,0,684,NOT_FLIPPED,5.7220458984375e-05,3,18,164,1,10,684,703,0,2620,1,Wrong statement
LengthTaintStrategy,3307621814_691161_0_255,3307621814,0,0,439,NOT_FLIPPED,4.029273986816406e-05,13,18,164,1,10,439,972,0,4904,1,Wrong statement
LengthTaintStrategy,2981629599_129207_1_32,2981629599,0,0,208,NOT_FLIPPED,6.103515625e-05,1,86,322,2,0,208,216,0,34,1,Wrong statement
LengthTaintStrategy,3307679201_962516_0_40,3307679201,0,0,449,NOT_FLIPPED,5.1975250244140625e-05,13,122,792,57,0,449,973,0,5040,1,Wrong statement
LengthTaintStrategy,3307639139_833007_1_32,3307639139,0,0,41,NOT_FLIPPED,4.982948303222656e-05,9,122,792,16,0,41,50,0,76,1,Wrong statement
LengthTaintStrategy,3307644023_185513_0_32,3307644023,0,0,684,NOT_FLIPPED,5.125999450683594e-05,5,18,164,35,0,684,694,0,2620,1,Wrong statement
LengthTaintStrategy,3307621814_258293_2_255,3307621814,0,0,80,NOT_FLIPPED,4.744529724121094e-05,9,18,164,1,10,80,96,0,476,1,Wrong statement
LengthTaintStrategy,3407808083_384186_1_32,3407808083,0,0,761,NOT_FLIPPED,2.2411346435546875e-05,6,122,792,46,0,761,1235,0,3214,1,Wrong statement
LengthTaintStrategy,3307661843_656381_0_14,3307661843,0,0,689,NOT_FLIPPED,5.53131103515625e-05,2,17,114,2,0,689,694,0,2629,1,Wrong statement
LengthTaintStrategy,3407425844_962516_0_32,3407425844,0,0,371,NOT_FLIPPED,3.9577484130859375e-05,12,122,792,46,0,371,896,0,4171,1,Wrong statement
LengthTaintStrategy,3307644023_918020_0_32,3307644023,0,0,765,NOT_FLIPPED,4.744529724121094e-05,9,18,164,35,0,765,1237,0,3259,1,Wrong statement
LengthTaintStrategy,1844722271_645526_0_34,1844722271,0,0,713,NOT_FLIPPED,6.29425048828125e-05,9,32,323,17,0,713,815,0,2852,1,Wrong statement
LengthTaintStrategy,3307644023_231168_0_32,3307644023,0,0,449,NOT_FLIPPED,4.839897155761719e-05,15,18,164,35,0,449,973,0,5042,1,Wrong statement
LengthTaintStrategy,3307644023_607324_1_32,3307644023,0,0,765,NOT_FLIPPED,4.4345855712890625e-05,9,18,164,35,0,765,1237,0,3262,1,Wrong statement
LengthTaintStrategy,3307644023_702787_1_32,3307644023,0,0,193,NOT_FLIPPED,5.125999450683594e-05,5,18,164,35,0,193,694,0,656,1,Wrong statement
LengthTaintStrategy,3717598555_770989_0_34,3717598555,0,0,901,NOT_FLIPPED,0.00022101402282714844,15,32,323,24,0,901,1391,0,4556,1,Wrong statement
LengthTaintStrategy,3307621814_957427_2_255,3307621814,0,0,685,NOT_FLIPPED,5.650520324707031e-05,3,18,164,1,10,685,703,0,2626,1,Wrong statement
LengthTaintStrategy,3307644023_737729_0_288,3307644023,0,0,374,NOT_FLIPPED,4.3392181396484375e-05,16,18,164,35,0,374,1002,0,4065,1,Wrong statement
LengthTaintStrategy,3478193082_770989_0_255,3478193082,0,0,863,NOT_FLIPPED,6.818771362304688e-05,11,32,323,8,6,863,1298,0,4045,1,Wrong statement
LengthTaintStrategy,3307644023_613370_1_288,3307644023,0,0,250,NOT_FLIPPED,4.4345855712890625e-05,11,18,164,35,0,250,740,0,1992,1,Wrong statement
LengthTaintStrategy,3307644023_361005_1_288,3307644023,0,0,932,NOT_FLIPPED,5.1975250244140625e-05,15,18,164,35,0,932,1436,0,5266,1,Wrong statement
