Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,3204516067_967624_0_288,3204516067,838,838,600,MAXIMUM_EXECUTION_TIME_REACHED,15.016904401779176,1,-,-,-,-,600,1469,0,24,5,random
GradientDescentStrategy,1883553587_528566_0_32771,1883553587,0,0,1892,NOT_FLIPPED,5.936622619628906e-05,0,334,2206,680,0,1892,2716,0,0,5,No offsets
GradientDescentStrategy,1883551409_245723_0_32771,1883551409,0,0,1977,NOT_FLIPPED,5.087852478027344e-05,0,334,2206,4,0,1977,2666,0,0,5,No offsets
GradientDescentStrategy,3727944649_27448_1_288,3727944649,8720,8766,280,MAXIMUM_EXECUTION_TIME_REACHED,15.000978183746337,1,165,1400,1,0,280,1088,0,15,5,random
GradientDescentStrategy,2957889287_578505_0_34,2957889287,0,0,35,NOT_FLIPPED,3.5858154296875e-05,0,73,631,3,0,35,457,0,0,5,No offsets
GradientDescentStrategy,1750964524_365804_0_32771,1750964524,0,0,218,NOT_FLIPPED,5.5217742919921874e-05,0,5,38,3,0,218,254,0,0,5,No offsets
GradientDescentStrategy,2957917304_1013869_0_288,2957917304,0,1,1369,FLIPPED_CONDITION,0.0842517375946045,1,73,631,5,0,1369,1483,1,65,5,
GradientDescentStrategy,474419296_585886_1_288,474419296,0,1,296,FLIPPED_CONDITION,0.00583958625793457,1,77,773,9,0,296,1491,1,24,5,
GradientDescentStrategy,474417943_114499_1_288,474417943,0,0,319,NOT_FLIPPED,4.611015319824219e-05,0,77,773,9,0,319,1841,0,0,5,No offsets
GradientDescentStrategy,474417943_585886_0_288,474417943,0,0,67,NOT_FLIPPED,4.444122314453125e-05,0,77,773,9,0,67,784,0,0,5,No offsets
GradientDescentStrategy,2957892290_161896_1_288,2957892290,1,3,979,FLIPPED_CONDITION,0.2018901824951172,1,19,206,11,0,979,1061,1,34,5,fill_in_0
GradientDescentStrategy,474428503_293341_1_36,474428503,0,0,343,NOT_FLIPPED,3.1280517578125e-05,0,6,71,2,0,343,1663,0,0,5,No offsets
GradientDescentStrategy,1023942389_403015_1_32,1023942389,718,718,332,MAXIMUM_EXECUTION_TIME_REACHED,15.022222995758057,1,-,-,-,-,332,1326,0,16,5,random
GradientDescentStrategy,1641142382_711506_0_288,1641142382,0,3,357,FLIPPED_CONDITION,0.020943355560302735,1,24,216,9,0,357,1813,1,9,5,
GradientDescentStrategy,3491176718_869495_0_34,3491176718,0,0,1722,NOT_FLIPPED,3.657341003417969e-05,0,40,367,12,0,1722,2236,0,0,5,No offsets
GradientDescentStrategy,3204516067_323696_0_288,3204516067,915,915,479,MAXIMUM_EXECUTION_TIME_REACHED,15.004930067062379,1,-,-,-,-,479,1203,0,40,5,random
GradientDescentStrategy,1750962973_561242_0_40,1750962973,0,5,232,FLIPPED_CONDITION,0.24232563972473145,1,25,277,12,0,232,300,1,20,5,
GradientDescentStrategy,1068172418_323696_0_32,1068172418,1017,1017,482,MAXIMUM_EXECUTION_TIME_REACHED,15.00128631591797,1,65,650,1,0,482,1203,0,4,5,random
GradientDescentStrategy,1068229640_483025_0_36,1068229640,6633,6633,548,MAXIMUM_EXECUTION_TIME_REACHED,15.000835466384888,1,165,1400,36,0,548,1418,0,48,5,random
GradientDescentStrategy,3219441339_941352_1_288,3219441339,0,1,202,FLIPPED_CONDITION,0.16917219161987304,1,79,964,5,0,202,1442,1,7,5,
GradientDescentStrategy,474415798_161740_0_288,474415798,0,0,168,NOT_FLIPPED,3.881454467773438e-05,0,69,193,14,0,168,978,0,0,5,No offsets
GradientDescentStrategy,1423285510_7102_1_36,1423285510,0,0,49,NOT_FLIPPED,4.940032958984375e-05,0,6,71,4,0,49,770,0,0,5,No offsets
GradientDescentStrategy,3219391575_483025_1_34,3219391575,383,383,552,MAXIMUM_EXECUTION_TIME_REACHED,15.02704348564148,1,165,1400,14,0,552,1442,0,8,5,random
GradientDescentStrategy,1883562497_332514_0_32771,1883562497,0,0,945,NOT_FLIPPED,4.84466552734375e-05,0,-,-,-,-,945,1793,0,0,5,No offsets
GradientDescentStrategy,1883553587_245723_1_36,1883553587,4119,4119,3163,MAXIMUM_EXECUTION_TIME_REACHED,15.002410888671875,2,334,2206,680,0,3163,3191,0,338,5,random
GradientDescentStrategy,3491176718_14881_1_32771,3491176718,0,0,247,NOT_FLIPPED,4.9448013305664064e-05,0,40,367,12,0,247,749,0,0,5,No offsets
GradientDescentStrategy,3219393126_483025_0_288,3219393126,3798,3798,540,MAXIMUM_EXECUTION_TIME_REACHED,15.00061101913452,1,165,1400,14,0,540,1461,0,8,5,random
GradientDescentStrategy,3219364482_767489_1_288,3219364482,0,1,443,FLIPPED_CONDITION,0.09448566436767578,1,165,1400,10,0,443,1270,1,32,5,
GradientDescentStrategy,1883548736_245723_0_36,1883548736,3525,3525,2891,MAXIMUM_EXECUTION_TIME_REACHED,15.001077651977539,2,334,2206,5,0,2891,2996,0,178,5,random
GradientDescentStrategy,3831551769_281139_0_288,3831551769,1636,1636,2471,MAXIMUM_EXECUTION_TIME_REACHED,15.004068946838379,1,8,65,5,0,2471,3575,0,43,5,random
GradientDescentStrategy,3831542166_894204_1_32771,3831542166,0,0,2472,NOT_FLIPPED,4.7206878662109375e-05,0,7,58,2,0,2472,3419,0,0,5,No offsets
GradientDescentStrategy,3831578004_629153_1_34,3831578004,3950,3950,2365,MAXIMUM_EXECUTION_TIME_REACHED,15.002157211303711,46,8,65,11,0,2365,2686,0,276,5,random
GradientDescentStrategy,1883553587_967053_1_36,1883553587,0,0,431,NOT_FLIPPED,4.072189331054688e-05,0,334,2206,680,0,431,997,0,0,5,No offsets
