Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,3229184935_582185_1_32771,3229184935,0,0,88,NOT_FLIPPED,4.2438507080078125e-05,0,3,36,9,0,88,89,0,0,1
MagicByteStrategy,1903848126_441853_0_32,1903848126,0,14,137,NOT_FLIPPED,0.19289398193359375,1,37,512,3,0,137,139,0,1,1
MagicByteStrategy,1903830801_582185_1_32771,1903830801,0,0,129,NOT_FLIPPED,4.935264587402344e-05,0,246,2690,25,0,129,148,0,0,1
MagicByteStrategy,1903850337_96084_0_40,1903850337,0,2,141,FLIPPED_CONDITION,0.048816680908203125,1,37,512,3,0,141,143,1,1,1
MagicByteStrategy,1903838028_582185_1_33,1903838028,0,1,132,FLIPPED_CONDITION,0.0032567977905273438,1,246,2690,32,0,132,173,1,3,1
MagicByteStrategy,611337383_96084_0_32,611337383,0,0,125,NOT_FLIPPED,4.887580871582031e-05,0,-,-,-,-,125,139,0,0,1
MagicByteStrategy,1903848324_582185_0_32771,1903848324,0,0,3,NOT_FLIPPED,5.841255187988281e-05,0,246,2690,8,0,3,5,0,0,1
MagicByteStrategy,1903863306_966829_1_32,1903863306,0,3,150,FLIPPED_CONDITION,0.034104347229003906,1,20,111,2,0,150,206,1,2,1
MagicByteStrategy,3229195660_848897_1_40,3229195660,1,14,131,NOT_FLIPPED,0.1005399227142334,1,4,39,5,0,131,181,0,3,1
MagicByteStrategy,1903864692_123636_1_32,1903864692,0,3,148,FLIPPED_CONDITION,0.027051925659179688,1,7,45,2,0,148,204,1,1,1
MagicByteStrategy,1903840602_726465_0_32771,1903840602,0,0,124,NOT_FLIPPED,3.719329833984375e-05,0,14,206,5,0,124,204,0,0,1
MagicByteStrategy,618698825_582185_1_32,618698825,0,0,136,NOT_FLIPPED,5.0067901611328125e-05,0,-,-,-,-,136,173,0,0,1
MagicByteStrategy,1903833210_582185_0_32,1903833210,0,0,130,NOT_FLIPPED,5.14984130859375e-05,0,246,2690,24,0,130,151,0,0,1
MagicByteStrategy,611337383_96084_0_32771,611337383,0,0,126,NOT_FLIPPED,5.221366882324219e-05,0,-,-,-,-,126,139,0,0,1
MagicByteStrategy,1903840602_726465_1_32771,1903840602,0,0,124,NOT_FLIPPED,4.220008850097656e-05,0,14,206,5,0,124,177,0,0,1
MagicByteStrategy,1903877529_1037775_0_32,1903877529,0,1,140,FLIPPED_CONDITION,0.06217217445373535,2,37,512,3,0,140,143,1,2,1
MagicByteStrategy,3229184935_571544_1_32,3229184935,0,0,135,NOT_FLIPPED,4.9591064453125e-05,0,3,36,9,0,135,139,0,0,1
MagicByteStrategy,1903850337_1037775_0_40,1903850337,0,2,141,FLIPPED_CONDITION,0.03230404853820801,1,37,512,3,0,141,143,1,1,1
MagicByteStrategy,1903842219_582185_0_34,1903842219,0,1,127,FLIPPED_CONDITION,0.008037567138671875,2,246,2690,14,0,127,129,1,2,1
MagicByteStrategy,1903821363_520974_0_32,1903821363,0,0,123,NOT_FLIPPED,4.220008850097656e-05,0,37,512,5,0,123,139,0,0,1
MagicByteStrategy,4204137842_726465_0_32771,4204137842,0,0,124,NOT_FLIPPED,2.956390380859375e-05,0,18,138,5,0,124,184,0,0,1
MagicByteStrategy,1903855914_539393_0_32,1903855914,0,1,73,FLIPPED_CONDITION,0.018598318099975586,1,12,153,20,0,73,123,1,2,1
MagicByteStrategy,1903821462_441853_0_32771,1903821462,0,0,130,NOT_FLIPPED,5.316734313964844e-05,0,37,512,14,0,130,139,0,0,1
MagicByteStrategy,1903849908_582185_0_38,1903849908,14,14,140,NOT_FLIPPED,0.022363901138305664,2,246,2690,25,0,140,150,0,18,1
MagicByteStrategy,611337383_96084_1_32771,611337383,0,0,126,NOT_FLIPPED,4.935264587402344e-05,0,-,-,-,-,126,136,0,0,1
MagicByteStrategy,1903833936_582185_0_32771,1903833936,0,0,166,NOT_FLIPPED,9.512901306152344e-05,0,246,2690,24,0,166,249,0,0,1
MagicByteStrategy,4022439335_726465_1_38,4022439335,4,14,130,NOT_FLIPPED,0.11207222938537598,2,18,138,17,0,130,184,0,4,1
MagicByteStrategy,1834228663_930920_0_32771,1834228663,0,0,132,NOT_FLIPPED,6.461143493652344e-05,0,-,-,-,-,132,143,0,0,1
MagicByteStrategy,1834228663_96084_0_32,1834228663,0,0,131,NOT_FLIPPED,4.792213439941406e-05,0,-,-,-,-,131,143,0,0,1
MagicByteStrategy,3477502214_726465_1_32,3477502214,0,0,134,NOT_FLIPPED,5.078315734863281e-05,0,18,138,5,0,134,184,0,0,1
MagicByteStrategy,1903821429_96084_0_32771,1903821429,0,0,128,NOT_FLIPPED,4.601478576660156e-05,0,37,512,11,0,128,139,0,0,1
MagicByteStrategy,1903833210_582185_1_32771,1903833210,0,0,133,NOT_FLIPPED,8.392333984375e-05,0,246,2690,24,0,133,151,0,0,1
MagicByteStrategy,1903839810_1037775_1_38,1903839810,14,14,146,NOT_FLIPPED,0.20529532432556152,1,37,512,3,0,146,235,0,6,1
MagicByteStrategy,1903821429_520974_1_32,1903821429,0,0,127,NOT_FLIPPED,6.008148193359375e-05,0,37,512,11,0,127,136,0,0,1
MagicByteStrategy,3068822762_582185_1_32,3068822762,0,0,125,NOT_FLIPPED,2.9325485229492188e-05,0,-,-,-,-,125,146,0,0,1
MagicByteStrategy,1903821528_96084_1_32,1903821528,0,0,137,NOT_FLIPPED,2.5272369384765625e-05,0,37,512,26,0,137,144,0,0,1
MagicByteStrategy,1834228663_96084_0_32771,1834228663,0,0,132,NOT_FLIPPED,7.462501525878906e-05,0,-,-,-,-,132,143,0,0,1
MagicByteStrategy,1288478043_582185_0_32,1288478043,0,0,125,NOT_FLIPPED,3.0994415283203125e-05,0,-,-,-,-,125,128,0,0,1
MagicByteStrategy,1903821495_520974_0_32,1903821495,0,0,133,NOT_FLIPPED,7.367134094238281e-05,0,37,512,20,0,133,143,0,0,1
MagicByteStrategy,3069408149_582185_1_32,3069408149,0,0,125,NOT_FLIPPED,6.699562072753906e-05,0,-,-,-,-,125,130,0,0,1
MagicByteStrategy,3072984623_245655_1_32,3072984623,0,0,125,NOT_FLIPPED,2.7894973754882812e-05,0,-,-,-,-,125,181,0,0,1
MagicByteStrategy,1903857795_726465_1_34,1903857795,0,2,127,FLIPPED_CONDITION,0.005675554275512695,2,6,78,14,0,127,182,1,2,1
MagicByteStrategy,1903829184_582185_1_32771,1903829184,0,0,129,NOT_FLIPPED,7.176399230957031e-05,0,246,2690,18,0,129,132,0,0,1
