Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
RandomStrategy,98927229_950786_0_32,98927229,2,1229,21,FLIPPED_CONDITION,11.57970986366272,1,4,32,3,0,21,121,1,1,5
RandomStrategy,98928384_168574_1_32771,98928384,2640,4038,227,FLIPPED_CONDITION,13.865585470199585,0,4,32,4,0,227,231,1,0,5
RandomStrategy,98928384_801711_0_32,98928384,637,2801,147,MAXIMUM_EXECUTION_TIME_REACHED,15.000457191467286,0,4,32,4,0,147,225,0,0,5
RandomStrategy,98903733_131172_1_32,98903733,212,985,135,FLIPPED_CONDITION,0.9151134967803956,1,54,420,4,0,135,257,1,1,5
RandomStrategy,296740999_261390_0_288,296740999,10083,15709,265,MAXIMUM_EXECUTION_TIME_REACHED,15.000538444519043,1,-,-,-,-,265,267,0,3,5
RandomStrategy,98909640_35527_0_32771,98909640,2661,2661,306,MAXIMUM_EXECUTION_TIME_REACHED,15.004932641983032,0,4,32,4,0,306,393,0,0,5
RandomStrategy,98909640_528362_0_32771,98909640,482,2055,168,MAXIMUM_EXECUTION_TIME_REACHED,15.002032661437989,0,4,32,4,0,168,256,0,0,5
RandomStrategy,3422574507_967552_0_36,3422574507,4042,6253,228,MAXIMUM_EXECUTION_TIME_REACHED,15.001255798339844,2,5,55,4,0,228,243,0,6,5
RandomStrategy,296747038_169184_0_40,296747038,50,71,235,FLIPPED_CONDITION,0.06905107498168946,1,-,-,-,-,235,241,1,9,5
RandomStrategy,98928384_93985_1_32,98928384,11230,17368,185,FLIPPED_CONDITION,13.784026622772217,0,4,32,4,0,185,189,1,0,5
RandomStrategy,98950857_123985_0_294,98950857,38,58,191,FLIPPED_CONDITION,0.07582221031188965,1,22,149,3,0,191,199,1,1,5
RandomStrategy,296738722_950909_1_36,296738722,1,2507,11,MAXIMUM_EXECUTION_TIME_REACHED,15.00300154685974,1,6,61,4,0,11,38,0,3,5
