Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
RandomStrategy,3307642373_833007_0_34,3307642373,18,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.049150943756103516,2,122,792,18,0
RandomStrategy,3307702499_833007_0_36,3307702499,55,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.049416542053222656,2,122,792,53,0
RandomStrategy,3407808083_384186_1_32,3407808083,79,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.049138545989990234,6,122,792,46,0
RandomStrategy,3307673624_384186_1_40,3307673624,84,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04713940620422363,13,122,792,2,0
RandomStrategy,3478218954_174840_0_38,3478218954,9,104,0,FLIPPED_CONDITION,0.011033058166503906,11,32,323,15,0
RandomStrategy,3307621814_879977_0_255,3307621814,82,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04722309112548828,7,18,164,1,10
RandomStrategy,1333064600_833007_1_40,1333064600,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047636985778808594,8,-,-,-,-
RandomStrategy,3307684877_833007_1_288,3307684877,39,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04474925994873047,2,122,792,17,0
RandomStrategy,3307621814_356714_0_255,3307621814,80,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05207395553588867,13,18,164,1,10
RandomStrategy,3307621814_322812_0_255,3307621814,65,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05044913291931152,3,18,164,1,10
RandomStrategy,3307637588_833007_0_288,3307637588,96,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.046315908432006836,13,122,792,11,0
RandomStrategy,3307701278_962516_0_34,3307701278,86,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04885077476501465,2,122,792,77,0
RandomStrategy,3307621814_799368_2_255,3307621814,58,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.053381919860839844,3,18,164,1,10
RandomStrategy,3307621814_449984_0_255,3307621814,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0484309196472168,3,18,164,1,10
RandomStrategy,3478218954_645526_0_38,3478218954,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0490570068359375,9,32,323,15,0
RandomStrategy,3307644023_929216_0_32,3307644023,30,483,0,FLIPPED_CONDITION,0.025835037231445312,11,18,164,35,0
RandomStrategy,3307644023_475622_1_32,3307644023,51,660,0,FLIPPED_CONDITION,0.03248405456542969,11,18,164,35,0
RandomStrategy,3307639139_509569_1_32,3307639139,0,34,0,FLIPPED_CONDITION,0.0023193359375,3,122,792,16,0
RandomStrategy,3307644023_561634_0_32,3307644023,78,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047224998474121094,11,18,164,35,0
RandomStrategy,3307644023_886185_0_32,3307644023,80,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.051155805587768555,15,18,164,35,0
RandomStrategy,1333040048_833007_0_32,1333040048,103,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05094766616821289,8,122,792,46,0
RandomStrategy,3307673624_509569_0_40,3307673624,47,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.048403263092041016,2,122,792,2,0
RandomStrategy,3307658213_833007_1_32,3307658213,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.048923492431640625,8,122,792,46,0
RandomStrategy,3307621814_275530_2_255,3307621814,44,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05115079879760742,9,18,164,1,10
RandomStrategy,3307644023_929342_1_32,3307644023,11,190,0,FLIPPED_CONDITION,0.011343955993652344,11,18,164,35,0
RandomStrategy,4243244804_557481_0_38,4243244804,2,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04830479621887207,2,49,288,5,0
RandomStrategy,3307650128_384186_1_32,3307650128,86,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04736208915710449,11,122,792,48,0
RandomStrategy,3307621814_781256_0_255,3307621814,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047510385513305664,9,18,164,1,10
RandomStrategy,3307621814_275530_0_511,3307621814,55,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04769730567932129,13,18,164,1,10
RandomStrategy,3307705832_509569_1_40,3307705832,61,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04793190956115723,7,122,792,55,0
RandomStrategy,1333064600_962516_1_40,1333064600,79,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04895806312561035,13,-,-,-,-
RandomStrategy,3307621814_242622_0_511,3307621814,82,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04739499092102051,7,18,164,1,10
RandomStrategy,3307644023_1004785_1_32,3307644023,85,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04770255088806152,9,18,164,35,0
RandomStrategy,3307644023_268546_0_32,3307644023,70,923,0,FLIPPED_CONDITION,0.044255733489990234,11,18,164,35,0
RandomStrategy,3478214268_770989_1_32,3478214268,74,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04659533500671387,11,32,323,9,0
RandomStrategy,1332978173_833007_0_32,1332978173,50,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04978609085083008,9,122,792,14,0
RandomStrategy,3307667618_962516_0_34,3307667618,89,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.050322532653808594,2,122,792,48,0
