Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
RandomTaintStrategy;2904720716_145096_1_288;2904720716;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.043859004974365234;1;8;65;7;0
RandomTaintStrategy;3491171207_449296_1_32771;3491171207;0;0;0;NOT_FLIPPED;2.7894973754882812e-05;0;-;-;-;-
RandomTaintStrategy;2957878925_578505_0_34;2957878925;0;0;0;NOT_FLIPPED;1.811981201171875e-05;0;73;631;3;0
RandomTaintStrategy;2957875856_191669_1_32771;2957875856;0;0;0;NOT_FLIPPED;2.1696090698242188e-05;0;19;206;6;0
RandomTaintStrategy;3491153288_332514_0_34;3491153288;0;0;0;NOT_FLIPPED;2.8848648071289062e-05;0;55;248;78;0
RandomTaintStrategy;3491171207_42987_1_36;3491171207;0;0;0;NOT_FLIPPED;3.075599670410156e-05;0;-;-;-;-
RandomTaintStrategy;474408868_670397_2_255;474408868;0;1;0;FLIPPED_CONDITION;0.0010793209075927734;1;77;773;4;2
RandomTaintStrategy;3491172098_245723_0_34;3491172098;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.0532834529876709;2;334;2206;682;0
RandomTaintStrategy;3219402432_794998_0_32771;3219402432;0;0;0;NOT_FLIPPED;1.7881393432617188e-05;0;74;809;32;0
RandomTaintStrategy;2957881268_578505_0_32771;2957881268;0;0;0;NOT_FLIPPED;2.5987625122070312e-05;0;73;631;3;0
RandomTaintStrategy;3491168303_869495_1_32771;3491168303;0;0;0;NOT_FLIPPED;3.147125244140625e-05;0;40;367;5;0
RandomTaintStrategy;3219388407_941515_1_38;3219388407;996;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06898617744445801;1;32;383;12;0
RandomTaintStrategy;2244137588_967053_0_32771;2244137588;0;0;0;NOT_FLIPPED;3.266334533691406e-05;0;-;-;-;-
RandomTaintStrategy;3023798872_300212_0_32771;3023798872;0;0;0;NOT_FLIPPED;2.5033950805664062e-05;0;19;196;3;0
RandomTaintStrategy;2244137588_528566_0_32771;2244137588;0;0;0;NOT_FLIPPED;2.1457672119140625e-05;0;-;-;-;-
RandomTaintStrategy;1883543984_14881_1_36;1883543984;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06819486618041992;1;-;-;-;-
RandomTaintStrategy;474424180_439294_0_288;474424180;0;533;0;FLIPPED_CONDITION;0.02829718589782715;1;6;71;10;0
RandomTaintStrategy;2071589212_815686_0_32;2071589212;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04628634452819824;1;9;98;4;0
RandomTaintStrategy;3491162726_967053_1_32771;3491162726;0;0;0;NOT_FLIPPED;2.86102294921875e-05;0;334;2206;679;0
RandomTaintStrategy;3219394776_794998_0_288;3219394776;991;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04806327819824219;1;74;809;3;0
RandomTaintStrategy;3831543684_557455_1_32771;3831543684;0;0;0;NOT_FLIPPED;2.5033950805664062e-05;0;7;58;3;0
RandomTaintStrategy;474420880_226656_0_288;474420880;1;34;0;FLIPPED_CONDITION;0.003706693649291992;1;77;773;18;0
RandomTaintStrategy;3219397515_767489_0_288;3219397515;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07272815704345703;1;165;1400;14;0
RandomTaintStrategy;3491159360_453402_0_32771;3491159360;0;0;0;NOT_FLIPPED;2.1696090698242188e-05;0;40;367;18;0
RandomTaintStrategy;4218976553_585886_0_511;4218976553;0;1;0;FLIPPED_CONDITION;0.003981590270996094;1;77;773;6;4
