cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
762865291, 188868, 65538, 27, 65535, 32771, 2, 3, 3, true, , Offset
2288608249, 188868, 65538, 27, 65535, 32771, 2, 3, 3, true, , Offset
2675955822, 895709, 65537, 27, 65535, 32771, 2, 3, ffffffffffffffff, true, , Offset
1163190819, 188868, 65537, 27, 65535, 32771, 2, 3, 3, true, , Offset
1340237010, 188868, 1, 935, 65535, 32, 0, 0, 63, false, 2-3, Unsolvable
1340825070, 188868, 1, 935, 65535, 32, 0, a, 63, false, 3-4, Unsolvable
1163154288, 188868, 1, 27, 65535, 32, 2, 65, 32, false, , OneByte
1163172801, 188868, 1, 27, 65535, 32, 2, 65, 38, false, , OneByte
1163159799, 188868, 1, 27, 65535, 32, 2, 65, 33, false, , OneByte
1163178312, 188868, 1, 27, 65535, 32, 2, 65, 37, false, , OneByte
1163153331, 188868, 1, 27, 65535, 36, 2, 0, 3, true, , Offset
1163157984, 188868, 1, 935, 2605, 36, 1, 0, 14, false, 2-3&3-4, OffsetAllEnd
3240464593, 814449, 1, 935, 2606, 40, 0, 14, 0, false, 2-3&3-4, OffsetAllEnd
3240460435, 814449, 1, 935, 2605, 16438, 0, 14, 0, true, 2-3&3-4, Offset
762869416, 188868, 1, 935, 2606, 38, 1, 14, 0, false, 2-3&3-4, OffsetAllEnd
762876148, 188868, 1, 935, 2606, 38, 0, 14, 800000, false, 2-3&3-4, OffsetAllEnd
762865291, 188868, 3, 28, 65535, 40, 2, 6, 6, true, , Offset
762865291, 188868, 65539, 28, 65535, 32771, 2, 6, 6, true, , Offset
2288608249, 188868, 3, 935, 2606, 40, 0, 14, 14, false, 2-3&3-4, OffsetAllEnd
2288608249, 188868, 65539, 41, 65535, 32771, 2, 20, 20, true, , Offset
2675955822, 908942, 65537, 41, 65535, 32771, 2, 20, ffffffffffffffff, true, , Offset
1163200785, 188868, 1, 28, 65535, 288, 2, 6, 6, true, , Offset
1163200785, 188868, 65537, 28, 65535, 32771, 2, 6, 6, true, , Offset
